Date,Microcolony #,Treatment,Treatment_old,Consumption ID #,# of Bees,New Pollen,Old Pollen,Feeding time,Net Consumption,IGNORE_Julian_date,Start_date,Days_since_start,Diet,Week_number
6/29/17,1,K-U,K-U,1,5,426.4,390.7,11:30,35.7,6/29/17,6/26/17,3,WF,1
7/5/17,1,K-U,K-U,1,5,428.7,365.7,13:00,63,7/5/17,6/26/17,9,WF,2
7/11/17,1,K-U,K-U,1,5,415.5,314.5,13:00,101,7/11/17,6/26/17,15,WF,3
7/19/17,1,K-U,K-U,1,4,421.1,389.1,12:00,32,7/19/17,6/26/17,23,WF,4
7/24/17,1,K-U,K-U,1,4,453.1,427.1,12:00,26,7/24/17,6/26/17,28,WF,5
8/1/17,1,K-U,K-U,1,2,447.9,421.3,16:30,26.6,8/1/17,6/26/17,36,WF,6
8/7/17,1,K-U,K-U,1,1,438.6,418.7,15:00,19.9,8/7/17,6/26/17,42,WF,7
6/29/17,2,K-I,K-I,2,5,425.1,386.7,11:30,38.4,6/29/17,6/26/17,3,WF,1
7/5/17,2,K-I,K-I,2,5,389.9,316.7,13:00,73.2,7/5/17,6/26/17,9,WF,2
7/11/17,2,K-I,K-I,2,5,413.7,377,13:00,36.7,7/11/17,6/26/17,15,WF,3
7/19/17,2,K-I,K-I,2,3,401.2,371.7,12:00,29.5,7/19/17,6/26/17,23,WF,4
7/24/17,2,K-I,K-I,2,2,420.2,393.8,12:00,26.4,7/24/17,6/26/17,28,WF,5
8/1/17,2,K-I,K-I,2,2,429.2,403,16:30,26.2,8/1/17,6/26/17,36,WF,6
8/7/17,2,K-I,K-I,2,2,443.2,426.5,15:00,16.7,8/7/17,6/26/17,42,WF,7
6/29/17,3,50-U,50-U,3,5,417.9,361,11:30,56.9,6/29/17,6/26/17,3,SF,1
7/5/17,3,50-U,50-U,3,5,428.1,367.1,13:00,61,7/5/17,6/26/17,9,SF,2
7/11/17,3,50-U,50-U,3,5,414.1,362.4,13:00,51.7,7/11/17,6/26/17,15,SF,3
7/19/17,3,50-U,50-U,3,5,396.3,337.8,12:00,58.5,7/19/17,6/26/17,23,SF,4
7/24/17,3,50-U,50-U,3,5,432.8,380.2,12:00,52.6,7/24/17,6/26/17,28,SF,5
8/1/17,3,50-U,50-U,3,4,441.8,418.2,16:30,23.6,8/1/17,6/26/17,36,SF,6
6/29/17,4,50-I,50-I,4,5,411.1,372.2,11:30,38.9,6/29/17,6/26/17,3,SF,1
7/5/17,4,50-I,50-I,4,5,409.7,380.6,13:00,29.1,7/5/17,6/26/17,9,SF,2
7/11/17,4,50-I,50-I,4,5,395.1,374.5,13:00,20.6,7/11/17,6/26/17,15,SF,3
7/19/17,4,50-I,50-I,4,5,403.9,389.2,12:00,14.7,7/19/17,6/26/17,23,SF,4
7/24/17,4,50-I,50-I,4,5,421.9,396.5,12:00,25.4,7/24/17,6/26/17,28,SF,5
8/1/17,4,50-I,50-I,4,4,426.3,409.7,16:30,16.6,8/1/17,6/26/17,36,SF,6
8/7/17,4,50-I,50-I,4,2,452.3,434.8,15:00,17.5,8/7/17,6/26/17,42,SF,7
6/29/17,5,K-U,K-U,5,5,428.9,378,11:30,50.9,6/29/17,6/26/17,3,WF,1
7/5/17,5,K-U,K-U,5,5,402.6,354.5,13:00,48.1,7/5/17,6/26/17,9,WF,2
7/11/17,5,K-U,K-U,5,5,409.1,338.7,13:00,70.4,7/11/17,6/26/17,15,WF,3
7/19/17,5,K-U,K-U,5,5,400.8,352.5,12:00,48.3,7/19/17,6/26/17,23,WF,4
7/24/17,5,K-U,K-U,5,5,391.6,350.3,12:00,41.3,7/24/17,6/26/17,28,WF,5
8/1/17,5,K-U,K-U,5,4,409.5,372,16:30,37.5,8/1/17,6/26/17,36,WF,6
8/7/17,5,K-U,K-U,5,4,.,.,15:00,#VALUE!,8/7/17,6/26/17,42,WF,7
6/29/17,6,K-I,K-I,6,5,420.8,385.5,11:30,35.3,6/29/17,6/26/17,3,WF,1
7/5/17,6,K-I,K-I,6,5,451.3,408.1,13:00,43.2,7/5/17,6/26/17,9,WF,2
7/11/17,6,K-I,K-I,6,5,389.6,365.9,13:00,23.7,7/11/17,6/26/17,15,WF,3
7/19/17,6,K-I,K-I,6,4,412.3,397.8,12:00,14.5,7/19/17,6/26/17,23,WF,4
7/24/17,6,K-I,K-I,6,4,414.6,.,12:00,#VALUE!,7/24/17,6/26/17,28,WF,5
6/29/17,7,50-U,50-U,7,5,436.3,408,11:30,28.3,6/29/17,6/26/17,3,SF,1
7/5/17,7,50-U,50-U,7,5,429.8,383.5,13:00,46.3,7/5/17,6/26/17,9,SF,2
7/11/17,7,50-U,50-U,7,5,397.9,369,13:00,28.9,7/11/17,6/26/17,15,SF,3
7/19/17,7,50-U,50-U,7,5,424,410.9,12:00,13.1,7/19/17,6/26/17,23,SF,4
7/24/17,7,50-U,50-U,7,5,435.9,412,12:00,23.9,7/24/17,6/26/17,28,SF,5
6/29/17,8,50-I,50-I,8,4,457.9,448.2,11:30,9.7,6/29/17,6/26/17,3,SF,1
7/5/17,8,50-I,50-I,8,4,414.1,383.1,13:00,31,7/5/17,6/26/17,9,SF,2
7/11/17,8,50-I,50-I,8,4,425.4,406.4,13:00,19,7/11/17,6/26/17,15,SF,3
7/19/17,8,50-I,50-I,8,2,419.4,405,12:00,14.4,7/19/17,6/26/17,23,SF,4
7/24/17,8,50-I,50-I,8,2,457.4,.,12:00,#VALUE!,7/24/17,6/26/17,28,SF,5
6/29/17,9,K-U,K-U,9,5,431,401.9,11:30,29.1,6/29/17,6/26/17,3,WF,1
7/5/17,9,K-U,K-U,9,4,413,360.6,13:00,52.4,7/5/17,6/26/17,9,WF,2
7/11/17,9,K-U,K-U,9,5,374,339,13:00,35,7/11/17,6/26/17,15,WF,3
7/19/17,9,K-U,K-U,9,4,404.6,360.9,12:00,43.7,7/19/17,6/26/17,23,WF,4
7/24/17,9,K-U,K-U,9,4,469.7,434.2,12:00,35.5,7/24/17,6/26/17,28,WF,5
8/1/17,9,K-U,K-U,9,4,420.1,392.7,16:30,27.4,8/1/17,6/26/17,36,WF,6
8/7/17,9,K-U,K-U,9,4,409.2,385.5,15:00,23.7,8/7/17,6/26/17,42,WF,7
6/29/17,10,K-I,K-I,10,5,434.3,387.5,11:30,46.8,6/29/17,6/26/17,3,WF,1
7/5/17,10,K-I,K-I,10,5,396,333.8,13:00,62.2,7/5/17,6/26/17,9,WF,2
7/11/17,10,K-I,K-I,10,4,415.2,346.8,13:00,68.4,7/11/17,6/26/17,15,WF,3
7/19/17,10,K-I,K-I,10,4,404.4,332.8,12:00,71.6,7/19/17,6/26/17,23,WF,4
7/24/17,10,K-I,K-I,10,4,439.2,370.1,12:00,69.1,7/24/17,6/26/17,28,WF,5
8/1/17,10,K-I,K-I,10,4,419,395,16:30,24,8/1/17,6/26/17,36,WF,6
6/29/17,11,50-U,50-U,11,5,424,408.5,11:30,15.5,6/29/17,6/26/17,3,SF,1
7/5/17,11,50-U,50-U,11,5,379.6,331.4,13:00,48.2,7/5/17,6/26/17,9,SF,2
7/11/17,11,50-U,50-U,11,5,428.1,367.5,13:00,60.6,7/11/17,6/26/17,15,SF,3
7/19/17,11,50-U,50-U,11,5,392.6,350.7,12:00,41.9,7/19/17,6/26/17,23,SF,4
7/24/17,11,50-U,50-U,11,5,418.2,388.5,12:00,29.7,7/24/17,6/26/17,28,SF,5
8/1/17,11,50-U,50-U,11,4,424.8,402.3,16:30,22.5,8/1/17,6/26/17,36,SF,6
8/7/17,11,50-U,50-U,11,4,.,.,15:00,#VALUE!,8/7/17,6/26/17,42,SF,7
7/11/17,12,50-I,50-I,12,5,418.1,362.7,13:00,55.4,7/11/17,7/10/17,1,SF,1
7/19/17,12,50-I,50-I,12,5,418.5,356.1,12:00,62.4,7/19/17,7/10/17,9,SF,2
7/24/17,12,50-I,50-I,12,5,430.8,377.2,12:00,53.6,7/24/17,7/10/17,14,SF,3
8/1/17,12,50-I,50-I,12,5,444.3,373.2,16:30,71.1,8/1/17,7/10/17,22,SF,4
8/7/17,12,50-I,50-I,12,4,441.8,311.5,15:00,130.3,8/7/17,7/10/17,28,SF,5
8/15/17,12,50-I,50-I,12,4,375.3,327.7,15:00,47.6,8/15/17,7/10/17,36,SF,6
8/21/17,12,50-I,50-I,12,4,439.8,.,15:00,#VALUE!,8/21/17,7/10/17,42,SF,7
7/11/17,13,K-I,K-U,13,5,410.8,334.8,13:00,76,7/11/17,7/10/17,1,WF,1
7/19/17,13,K-I,K-U,13,5,395.5,317.4,12:00,78.1,7/19/17,7/10/17,9,WF,2
7/24/17,13,K-I,K-U,13,5,417.9,264.4,12:00,153.5,7/24/17,7/10/17,14,WF,3
8/1/17,13,K-I,K-U,13,5,402,297.2,16:30,104.8,8/1/17,7/10/17,22,WF,4
8/7/17,13,K-I,K-U,13,5,440.4,336.8,15:00,103.6,8/7/17,7/10/17,28,WF,5
8/15/17,13,K-I,K-U,13,5,395.7,313.9,15:00,81.8,8/15/17,7/10/17,36,WF,6
7/11/17,14,K-I,K-I,14,5,413.7,368.3,13:00,45.4,7/11/17,7/10/17,1,WF,1
7/19/17,14,K-I,K-I,14,4,429.5,406.1,12:00,23.4,7/19/17,7/10/17,9,WF,2
7/24/17,14,K-I,K-I,14,2,448.6,407.7,12:00,40.9,7/24/17,7/10/17,14,WF,3
8/1/17,14,K-I,K-I,14,2,417.2,378.4,16:30,38.8,8/1/17,7/10/17,22,WF,4
8/7/17,14,K-I,K-I,14,2,444,424.5,15:00,19.5,8/7/17,7/10/17,28,WF,5
8/15/17,14,K-I,K-I,14,2,385.2,361.4,15:00,23.8,8/15/17,7/10/17,36,WF,6
8/21/17,14,K-I,K-I,14,2,397.4,.,15:00,#VALUE!,8/21/17,7/10/17,42,WF,7
