Micro,Treatment,Treatment_old,Stage,Lpnumber,weight,Notes
5,K-I,K-U,larva,1,93.4,
5,K-I,K-U,larva,1,93.4,"1 dead 2 alive; turned one row with three larvae into three rows, each with the written total weight (280.2) divided by three and then only included two of them. "
11,50-U,50-U,larva,1,72.2,alive
12,50-I,50-I,pupa,1,147.7,
12,50-I,50-I,pupa,1,145.2,
13,K-I,K-U,larva,1,32.1,
13,K-I,K-U,larva,1,21.6,
13,K-I,K-U,larva,1,11.2,
13,K-I,K-U,larva,1,6.5,
13,K-I,K-U,larva,1,13.1,
13,K-I,K-U,larva,1,5.2,
13,K-I,K-U,larva,1,5,
13,K-I,K-U,larva,1,3.7,
13,K-I,K-U,larva,1,10.8,
15,50-I,50-U,larva,1,129.6,
15,50-I,50-U,larva,1,68.7,
16,K-I,K-I,larva,1,54.8,
16,K-I,K-I,larva,1,37.4,
21,K-U,K-U,larva,1,4.5,
22,K-I,K-I,pupa,1,187.5,
22,K-I,K-I,pupa,1,167.5,
22,K-I,K-I,larva,1,28.4,
26,K-I,K-I,pupa,1,140.6,
26,K-I,K-I,pupa,1,147.3,
26,K-I,K-I,pupa,1,124.8,
26,K-I,K-I,pupa,1,138.2,
26,K-I,K-I,pupa,1,128.5,
28,50-I,50-I,pupa,1,138.5,
30,K-I,K-I,larva,1,83.4,
30,K-I,K-I,larva,1,68.4,
30,K-I,K-I,larva,1,60.3,
33,K-U,K-U,larva,1,62,
33,K-U,K-U,pupa,1,90.7,
34,K-I,K-I,larva,1,78.6,
34,K-I,K-I,larva,1,116.2,
34,K-I,K-I,larva,1,108.7,
34,K-I,K-I,larva,1,80.7,
37,K-U,K-U,pupa,1,123,
37,K-U,K-U,pupa,1,96.5,
37,K-U,K-U,larva,1,79,
37,K-U,K-U,pupa,1,148.8,
37,K-U,K-U,larva,1,48.4,
38,K-I,K-I,larva,1,113.7,turning brown
38,K-I,K-I,adult,1,75.4,about to emerge - had orange and yellow hair
38,K-I,K-I,larva,1,66.5,
38,K-I,K-I,larva,1,74,
38,K-I,K-I,pupa,1,96.9,
38,K-I,K-I,pupa,1,131.8,
38,K-I,K-I,pupa,1,107.4,
38,K-I,K-I,pupa,1,114.2,
39,50-U,50-U,pupa,1,125.2,
39,50-U,50-U,pupa,1,139.3,
39,50-U,50-U,larva,1,110.8,
43,50-I,50-I,pupa,1,136.5,
43,50-I,50-I,pupa,1,124.1,
43,50-I,50-I,pupa,1,138.3,
43,50-I,50-I,pupa,1,116.5,
63,K-I,K-I,larva,1,98.7,
63,K-I,K-I,larva,1,88.1,
63,K-I,K-I,larva,1,99.8,
63,K-I,K-I,larva,1,171.5,
