Bee ID,colony,species,Treatment,Inoc Day 1,Inoc Day 2,Dissect Date,count,wing,Death Date,Notes,Dead,Days_till_dead
11,JG-C,Com imp,S,6/30/16,7/1/16,7/7/16,NA,NA,7/1/16,NA,1,1
34,W-G,Wild gris,B,6/30/16,7/1/16,7/7/16,NA,NA,7/1/16,NA,1,1
43,W-I,Wild imp,S,6/30/16,7/1/16,7/7/16,NA,NA,7/1/16,NA,1,1
20,JG-D,Com imp,B,6/30/16,7/1/16,7/7/16,NA,NA,7/2/16,NA,1,2
10,JG-C,Com imp,B,6/30/16,7/1/16,7/7/16,NA,NA,7/3/16,NA,1,3
52,W-I,Wild imp,B,6/30/16,7/1/16,7/7/16,NA,NA,7/3/16,NA,1,3
2,JG-B,Com imp,B,6/30/16,7/1/16,7/7/16,NA,NA,7/4/16,NA,1,4
48,W-I,Wild imp,B,6/30/16,7/1/16,7/7/16,NA,NA,7/4/16,NA,1,4
1,JG-B,Com imp,S,6/30/16,7/1/16,7/7/16,0,3,NA,NA,0,7
3,JG-B,Com imp,S,6/30/16,7/1/16,7/7/16,0,2.8,NA,NA,0,7
4,JG-B,Com imp,B,6/30/16,7/1/16,7/7/16,0,2.8,NA,NA,0,7
5,JG-B,Com imp,S,6/30/16,7/1/16,7/7/16,0,2.7,NA,NA,0,7
6,JG-B,Com imp,B,6/30/16,7/1/16,7/7/16,2,2.95,NA,NA,0,7
7,JG-B,Com imp,S,6/30/16,7/1/16,7/7/16,12,2.85,NA,NA,0,7
8,JG-C,Com imp,B,6/30/16,7/1/16,7/7/16,2,2.7,NA,NA,0,7
9,JG-C,Com imp,S,6/30/16,7/1/16,7/7/16,0,2.4,NA,NA,0,7
12,JG-C,Com imp,B,6/30/16,7/1/16,7/7/16,54,2.75,NA,NA,0,7
13,JG-C,Com imp,S,6/30/16,7/1/16,7/7/16,0,3.2,NA,NA,0,7
14,JG-C,Com imp,B,6/30/16,7/1/16,7/7/16,61,3.05,NA,NA,0,7
15,JG-D,Com imp,S,6/30/16,7/1/16,7/7/16,0,2.9,NA,NA,0,7
16,JG-D,Com imp,B,6/30/16,7/1/16,7/7/16,241,3.2,NA,NA,0,7
17,JG-D,Com imp,S,6/30/16,7/1/16,7/7/16,0,3,NA,NA,0,7
18,JG-D,Com imp,B,6/30/16,7/1/16,7/7/16,8,2.9,NA,NA,0,7
19,W-G,Wild gris,S,6/30/16,7/1/16,7/7/16,127,3.2,NA,NA,0,7
21,JG-D,Com imp,S,6/30/16,7/1/16,7/7/16,4,2.65,NA,NA,0,7
22,JG-D,Com imp,B,6/30/16,7/1/16,7/7/16,12,2.65,NA,NA,0,7
23,W-G,Wild gris,S,6/30/16,7/1/16,7/7/16,345,3.8,NA,NA,0,7
24,W-G,Wild gris,B,6/30/16,7/1/16,7/7/16,196,3.4,NA,NA,0,7
25,W-G,Wild gris,S,6/30/16,7/1/16,7/7/16,125,3.7,NA,NA,0,7
26,W-G,Wild gris,B,6/30/16,7/1/16,7/7/16,299,3.6,NA,NA,0,7
27,W-G,Wild gris,S,6/30/16,7/1/16,7/7/16,680,4.15,NA,NA,0,7
28,W-G,Wild gris,B,6/30/16,7/1/16,7/7/16,312,3.4,NA,NA,0,7
29,W-G,Wild gris,S,6/30/16,7/1/16,7/7/16,102,3.65,NA,NA,0,7
30,W-G,Wild gris,B,6/30/16,7/1/16,7/7/16,100,3.25,NA,NA,0,7
31,W-G,Wild gris,S,6/30/16,7/1/16,7/7/16,328,3.9,NA,NA,0,7
32,W-G,Wild gris,B,6/30/16,7/1/16,7/7/16,106,3.5,NA,NA,0,7
33,W-G,Wild gris,S,6/30/16,7/1/16,7/7/16,663,3.7,NA,NA,0,7
35,W-G,Wild gris,S,6/30/16,7/1/16,7/7/16,871,3.75,NA,NA,0,7
36,W-G,Wild gris,B,6/30/16,7/1/16,7/7/16,NA,NA,NA,Missing not sure why???,NA,NA
37,W-I,Wild imp,S,6/30/16,7/1/16,7/7/16,90,2.3,NA,NA,0,7
38,W-I,Wild imp,B,6/30/16,7/1/16,7/7/16,222,2.75,NA,NA,0,7
39,W-I,Wild imp,S,6/30/16,7/1/16,7/7/16,31,2.65,NA,NA,0,7
40,W-I,Wild imp,B,6/30/16,7/1/16,7/7/16,324,2.85,NA,NA,0,7
41,W-I,Wild imp,S,6/30/16,7/1/16,7/7/16,62,2.9,NA,NA,0,7
42,W-I,Wild imp,B,6/30/16,7/1/16,7/7/16,209,2.4,NA,NA,0,7
44,W-I,Wild imp,B,6/30/16,7/1/16,7/7/16,522,3.05,NA,NA,0,7
45,W-I,Wild imp,S,6/30/16,7/1/16,7/7/16,1,2.45,NA,NA,0,7
46,W-I,Wild imp,B,6/30/16,7/1/16,7/7/16,198,2.65,NA,NA,0,7
47,W-I,Wild imp,S,6/30/16,7/1/16,7/7/16,31,2.95,NA,NA,0,7
49,W-I,Wild imp,S,6/30/16,7/1/16,7/7/16,65,2.75,NA,NA,0,7
50,W-I,Wild imp,B,6/30/16,7/1/16,7/7/16,247,2.9,NA,NA,0,7
51,W-I,Wild imp,S,6/30/16,7/1/16,7/7/16,39,2.85,NA,NA,0,7
53,W-I,Wild imp,S,6/30/16,7/1/16,7/7/16,47,2.65,NA,NA,0,7
54,W-I,Wild imp,B,6/30/16,7/1/16,7/7/16,312,2.9,NA,NA,0,7
55,W-I,Wild imp,S,6/30/16,7/1/16,7/7/16,48,2.6,NA,NA,0,7
