Bee ID,Colony ID,Species,Crithidia Strain,Caste,Treatment,Inoc. Date,MCL,Dissect Date,Crithidia Count,Notes
1,22,B. bimaculatus,"129-B, W3-B (Colony 1)",Worker,SF,6/26/18,2.665,7/3/18,0,
2,22,B. bimaculatus,"129-B, W3-B (Colony 1)",Worker,WF,6/26/18,2.08,7/3/18,15,
3,22,B. bimaculatus,"129-B, W3-B (Colony 1)",Worker,SF,6/26/18,2.99,7/3/18,19,
4,22,B. bimaculatus,"129-B, W3-B (Colony 1)",Worker,WF,6/26/18,2.405,7/3/18,13,
5,27,B. bimaculatus,"129-B, W3-B (Colony 1)",Worker,SF,6/26/18,2.535,7/3/18,1,
6,27,B. bimaculatus,"129-B, W3-B (Colony 1)",Worker,WF,6/26/18,2.535,7/3/18,21,
7,27,B. bimaculatus,"129-B, W3-B (Colony 1)",Worker,SF,6/26/18,2.47,7/3/18,9,escaped and found 6/28
8,27,B. bimaculatus,"129-B, W3-B (Colony 1)",Worker,WF,6/26/18,2.6,7/3/18,40,
9,39,B. bimaculatus,"129-B, W3-B (Colony 1)",Worker,SF,6/26/18,2.665,7/3/18,2,
10,39,B. bimaculatus,"129-B, W3-B (Colony 1)",Worker,WF,6/26/18,2.405,7/3/18,15,
11,39,B. bimaculatus,"129-B, W3-B (Colony 1)",Worker,SF,6/26/18,2.795,7/3/18,41,
12,39,B. bimaculatus,"129-B, W3-B (Colony 1)",Worker,WF,6/26/18,2.34,7/3/18,75,
13,70,B. bimaculatus,"129-B, W3-B (Colony 1)",Worker,WF,7/5/18,3.12,7/12/18,96,
14,70,B. bimaculatus,"129-B, W3-B (Colony 1)",Worker,SF,7/5/18,2.665,7/12/18,91,
15,70,B. bimaculatus,"129-B, W3-B (Colony 1)",Worker,WF,7/5/18,2.795,7/12/18,20,
16,70,B. bimaculatus,"129-B, W3-B (Colony 1)",Worker,SF,7/5/18,2.535,7/12/18,31,
17,27,B. bimaculatus,"129-B, W3-B (Colony 1)",Worker,WF,7/5/18,3.185,7/12/18,0,
18,27,B. bimaculatus,"129-B, W3-B (Colony 1)",Worker,SF,7/5/18,2.86,7/12/18,9,
22,27,B. bimaculatus,"129-B, W3-B (Colony 1)",Worker,SF,7/5/18,2.73,7/12/18,0,
23,27,B. bimaculatus,"129-B, W3-B (Colony 1)",Worker,WF,7/5/18,2.665,7/12/18,0,
24,27,B. bimaculatus,"129-B, W3-B (Colony 1)",Worker,SF,7/5/18,2.99,7/12/18,11,
25,27,B. bimaculatus,"129-B, W3-B (Colony 1)",Worker,WF,7/5/18,2.405,7/12/18,4,
26,27,B. bimaculatus,"129-B, W3-B (Colony 1)",Worker,SF,7/5/18,2.6,7/12/18,0,escaped in incubator and found 7/6
27,27,B. bimaculatus,"129-B, W3-B (Colony 1)",Worker,WF,7/5/18,2.665,7/12/18,1,
29,22,B. bimaculatus,"129-B, W3-B (Colony 1)",Worker,WF,7/5/18,3.445,7/12/18,229,
30,22,B. bimaculatus,"129-B, W3-B (Colony 1)",Worker,SF,7/5/18,2.86,7/12/18,0,
31,22,B. bimaculatus,"129-B, W3-B (Colony 1)",Worker,WF,7/5/18,3.315,7/12/18,0,
32,22,B. bimaculatus,"129-B, W3-B (Colony 1)",Worker,SF,7/5/18,,7/12/18,11,replaced wing size with average
33,22,B. bimaculatus,"129-B, W3-B (Colony 1)",Worker,WF,7/5/18,2.99,7/12/18,28,escaped and caught soon after 7/5
34,22,B. bimaculatus,"129-B, W3-B (Colony 1)",Worker,SF,7/5/18,3.25,7/12/18,0,
35,22,B. bimaculatus,"129-B, W3-B (Colony 1)",Worker,WF,7/5/18,3.185,7/12/18,10,
36,22,B. bimaculatus,"129-B, W3-B (Colony 1)",Worker,SF,7/5/18,3.12,7/12/18,136,
37,22,B. bimaculatus,"129-B, W3-B (Colony 1)",Worker,WF,7/5/18,3.315,7/12/18,72,
39,39,B. bimaculatus,"129-B, W3-B (Colony 1)",Worker,WF,7/5/18,3.055,7/12/18,14,
40,39,B. bimaculatus,"129-B, W3-B (Colony 1)",Worker,SF,7/5/18,2.925,7/12/18,10,
41,39,B. bimaculatus,"129-B, W3-B (Colony 1)",Worker,WF,7/5/18,2.665,7/12/18,109,
42,39,B. bimaculatus,"129-B, W3-B (Colony 1)",Worker,SF,7/5/18,2.925,7/12/18,20,
43,22,B. bimaculatus,"129-B, W3-B (Colony 1)",Worker,WF,7/5/18,3.315,7/12/18,0,
44,39,B. bimaculatus,"129-B, W3-B (Colony 1)",Worker,SF,7/5/18,2.795,7/12/18,12,
46,39,B. bimaculatus,"129-B, W3-B (Colony 1)",Worker,SF,7/5/18,3.445,7/12/18,66,
