Bee ID,Colony ID,Date Inoc,Treatment,Count,Wing_OU,Wing_mm,Dead,Death Date,Notes,days_til_dead
75,Colony 3,9/25/20,MIX,2,4.4,2.86,0,,,7
76,Colony 5,9/25/20,SUN,0,4.1,2.665,0,,,7
77,Colony 8,9/25/20,WF,47,3.9,2.535,0,,,7
78,Colony 3,9/25/20,MIX,0,3.7,2.405,0,,,7
79,Colony 3,9/25/20,SUN,0,4.2,2.73,0,,,7
80,Colony 3,9/25/20,WF,19,4.4,2.86,0,,,7
81,Colony 3,9/25/20,MIX,0,4,2.6,0,,,7
82,Colony 3,9/25/20,SUN,0,4.2,2.73,0,,,7
83,Colony 3,9/25/20,WF,8,3.6,2.34,0,,,7
84,Colony 3,9/25/20,MIX,0,3.9,2.535,0,,,7
85,Colony 5,9/25/20,SUN,0,4.2,2.73,0,,,7
87,Colony 5,9/25/20,MIX,7,4.1,2.665,0,,,7
89,Colony 5,9/25/20,WF,82,4.5,2.925,0,,,7
90,Colony 5,9/25/20,MIX,83,NA,NA,0,,,7
91,Colony 5,9/25/20,SUN,2,3.6,2.34,0,,,7
92,Colony 8,9/25/20,WF,74,3.9,2.535,0,,,7
93,Colony 8,9/25/20,MIX,17,3.9,2.535,0,,,7
94,Colony 8,9/25/20,SUN,2,4,2.6,0,,,7
95,Colony 8,9/25/20,WF,6,4.1,2.665,0,,,7
96,Colony 8,9/25/20,MIX,0,4.5,2.925,0,,,7
97,Colony 8,9/25/20,SUN,0,3.9,2.535,0,,,7
98,Colony 8,9/25/20,WF,15,NA,NA,0,,,7
100,Colony 10,9/25/20,SUN,0,NA,NA,0,,,7
101,Colony 10,9/25/20,WF,39,NA,NA,0,,,7
102,Colony 10,9/25/20,MIX,0,NA,NA,0,,,7
103,Colony 10,9/25/20,SUN,0,NA,NA,0,,,7
104,Colony 10,9/25/20,WF,1,NA,NA,0,,was this the one missing from the wing slide? ,7
105,Colony 10,9/25/20,MIX,0,4,2.6,0,,,7
41,Colony 1,9/23/20,WF,206,3.9,2.535,0,,,7
43,Colony 3,9/23/20,SUN,0,4,2.6,0,,,7
44,Colony 3,9/23/20,WF,200,3.6,2.34,0,,,7
45,Colony 3,9/23/20,MIX,1,4.2,2.73,0,,,7
46,Colony 3,9/23/20,SUN,16,4.6,2.99,0,,,7
47,Colony 3,9/23/20,WF,85,4.1,2.665,0,,,7
48,Colony 3,9/23/20,MIX,1,4.3,2.795,0,,,7
49,Colony 3,9/23/20,SUN,0,4.6,2.99,0,,,7
50,Colony 5,9/23/20,WF,117,3.9,2.535,0,,,7
51,Colony 5,9/23/20,MIX,3,4.3,2.795,0,,,7
52,Colony 5,9/23/20,SUN,2,4.3,2.795,0,,,7
53,Colony 5,9/23/20,WF,106,4.3,2.795,0,,,7
54,Colony 5,9/23/20,MIX,151,4.4,2.86,0,,,7
56,Colony 5,9/23/20,WF,136,4,2.6,0,,,7
57,Colony 8,9/23/20,MIX,10,3.9,2.535,0,,,7
58,Colony 8,9/23/20,SUN,0,4.1,2.665,0,,,7
59,Colony 8,9/23/20,WF,0,3.7,2.405,0,,,7
60,Colony 8,9/23/20,MIX,1,4,2.6,0,,,7
61,Colony 8,9/23/20,SUN,0,3.8,2.47,0,,,7
62,Colony 8,9/23/20,WF,4,4.3,2.795,0,,,7
63,Colony 8,9/23/20,MIX,1,4.4,2.86,0,,,7
64,Colony 10,9/23/20,SUN,1,4.3,2.795,0,,,7
65,Colony 10,9/23/20,WF,7,4,2.6,0,,,7
66,Colony 10,9/23/20,MIX,5,4,2.6,0,,,7
67,Colony 10,9/23/20,SUN,0,3.2,2.08,0,,,7
68,Colony 10,9/23/20,WF,37,3.9,2.535,0,,,7
69,Colony 10,9/23/20,MIX,2,4.2,2.73,0,,,7
70,Colony 10,9/23/20,SUN,0,3.9,2.535,0,,,7
2,Colony 1,9/22/20,WF,17,4.4,2.86,0,,,7
3,Colony 1,9/22/20,MIX,0,3.6,2.34,0,,,7
7,Colony 1,9/22/20,SUN,1,4,2.6,0,,,7
8,Colony 3,9/22/20,WF,31,4.3,2.795,0,,,7
9,Colony 3,9/22/20,MIX,5,3.4,2.21,0,,,7
10,Colony 3,9/22/20,SUN,1,4.4,2.86,0,,,7
11,Colony 3,9/22/20,WF,32,4.6,2.99,0,,,7
12,Colony 3,9/22/20,MIX,5,3.7,2.405,0,,,7
13,Colony 3,9/22/20,SUN,2,4.7,3.055,0,,,7
14,Colony 3,9/22/20,WF,48,3.5,2.275,0,,,7
16,Colony 5,9/22/20,SUN,2,3.8,2.47,0,,,7
17,Colony 5,9/22/20,WF,67,4.3,2.795,0,,,7
18,Colony 5,9/22/20,MIX,9,4,2.6,0,,,7
19,Colony 5,9/22/20,SUN,0,3.9,2.535,0,,,7
21,Colony 5,9/22/20,MIX,81,3.7,2.405,0,,,7
22,Colony 8,9/22/20,SUN,1,4.1,2.665,0,,,7
24,Colony 8,9/22/20,MIX,0,4,2.6,0,,,7
25,Colony 8,9/22/20,SUN,1,4.6,2.99,0,,,7
27,Colony 8,9/22/20,MIX,0,3.7,2.405,0,,,7
28,Colony 8,9/22/20,SUN,0,4.2,2.73,0,,,7
29,Colony 10,9/22/20,WF,99,3.9,2.535,0,,,7
30,Colony 10,9/22/20,MIX,0,3.5,2.275,0,,,7
31,Colony 10,9/22/20,SUN,6,3.7,2.405,0,,,7
32,Colony 10,9/22/20,WF,12,4.1,2.665,0,,,7
33,Colony 10,9/22/20,MIX,1,3.8,2.47,0,,,7
35,Colony 10,9/22/20,WF,0,4.1,2.665,0,,,7
72,Colony 1,9/25/20,MIX,NA,3.9,2.535,1,9/26/20,,1
40,Colony 1,9/23/20,SUN,NA,4.1,2.665,1,9/25/20,,2
6,Colony 1,9/22/20,MIX,NA,4.1,2.665,1,9/25/20,,3
42,Colony 1,9/23/20,MIX,NA,4.2,2.73,1,9/26/20,,3
36,Colony 1,9/23/20,MIX,NA,5.1,3.315,1,9/27/20,,4
39,Colony 1,9/23/20,MIX,NA,4,2.6,1,9/27/20,,4
71,Colony 1,9/25/20,WF,NA,4.1,2.665,1,9/29/20,,4
73,Colony 1,9/25/20,SUN,NA,3.6,2.34,1,9/29/20,,4
74,Colony 1,9/25/20,WF,NA,3.9,2.535,1,9/29/20,,4
86,Colony 5,9/25/20,WF,NA,4.2,2.73,1,9/29/20,,4
5,Colony 1,9/22/20,WF,NA,4.2,2.73,1,9/27/20,,5
37,Colony 1,9/23/20,SUN,NA,4.1,2.665,1,9/28/20,,5
4,Colony 1,9/22/20,SUN,NA,4.2,2.73,1,9/28/20,,6
15,Colony 5,9/22/20,MIX,NA,4.5,2.925,1,9/28/20,,6
34,Colony 10,9/22/20,SUN,NA,3.8,2.47,1,9/28/20,,6
38,Colony 1,9/23/20,WF,NA,4.2,2.73,1,9/29/20,,6
55,Colony 5,9/23/20,SUN,NA,4.3,2.795,1,9/29/20,,6
88,Colony 5,9/25/20,SUN,NA,3.9,2.535,1,10/1/20,,6
1,Colony 1,9/22/20,SUN,NA,3.9,2.535,1,9/29/20,,7
23,Colony 8,9/22/20,WF,NA,4.3,2.795,1,9/29/20,,7
26,Colony 8,9/22/20,WF,NA,4.1,2.665,1,9/29/20,,7
20,Colony 5,9/22/20,WF,NA,,0,NA,NA,escaped,NA
99,Colony 10,9/25/20,MIX,NA,NA,NA,NA,NA,escaped,NA
