Bee ID,Colony ID,Species,Crithidia Strain,Caste,Treatment,Inoc. Date,MCL-OU,MCL-MM,Dissect Date,Count,Notes,dead,days_til_dead
1,22,B. bimaculatus,"129-B, W3-B (Colony 1)",Worker,SF,6/26/2018,4.1,2.665,7/3/2018,0,,0,7
17,27,B. bimaculatus,"129-B, W3-B (Colony 1)",Worker,WF,7/5/2018,4.9,3.185,7/12/2018,0,,0,7
20,27,B. bimaculatus,"129-B, W3-B (Colony 1)",Drone,SF,7/5/2018,5.2,3.38,7/12/2018,0,,0,7
22,27,B. bimaculatus,"129-B, W3-B (Colony 1)",Worker,SF,7/5/2018,4.2,2.73,7/12/2018,0,,0,7
23,27,B. bimaculatus,"129-B, W3-B (Colony 1)",Worker,WF,7/5/2018,4.1,2.665,7/12/2018,0,,0,7
26,27,B. bimaculatus,"129-B, W3-B (Colony 1)",Worker,SF,7/5/2018,4,2.6,7/12/2018,0,escaped in incubator and found 7/6,0,7
30,22,B. bimaculatus,"129-B, W3-B (Colony 1)",Worker,SF,7/5/2018,4.4,2.86,7/12/2018,0,,0,7
31,22,B. bimaculatus,"129-B, W3-B (Colony 1)",Worker,WF,7/5/2018,5.1,3.315,7/12/2018,0,,0,7
34,22,B. bimaculatus,"129-B, W3-B (Colony 1)",Worker,SF,7/5/2018,5,3.25,7/12/2018,0,,0,7
43,22,B. bimaculatus,"129-B, W3-B (Colony 1)",Worker,WF,7/5/2018,5.1,3.315,7/12/2018,0,,0,7
52,22,B. bimaculatus,170-B (Colony 170),Worker,SF,7/9/2018,5,3.25,7/16/2018,0,,0,7
54,22,B. bimaculatus,170-B (Colony 170),Worker,SF,7/9/2018,4.8,3.12,7/16/2018,0,,0,7
63,22,B. bimaculatus,170-B (Colony 170),Worker,WF,7/9/2018,5.1,3.315,7/16/2018,0,,0,7
70,22,B. bimaculatus,170-B (Colony 170),Worker,SF,7/9/2018,4.9,3.185,7/16/2018,0,,0,7
82,39,B. bimaculatus,170-B (Colony 170),Worker,SF,7/9/2018,4.8,3.12,7/16/2018,0,,0,7
86,22,B. bimaculatus,"129-B, 3W-B,170-B (Colony 1)",Worker,SF,7/13/2018,3,1.95,7/20/2018,0,,0,7
88,22,B. bimaculatus,"129-B, 3W-B,170-B (Colony 1)",Worker,SF,7/13/2018,4,2.6,7/20/2018,0,,0,7
90,22,B. bimaculatus,"129-B, 3W-B,170-B (Colony 1)",Worker,SF,7/13/2018,4,2.6,7/20/2018,0,,0,7
91,22,B. bimaculatus,"129-B, 3W-B,170-B (Colony 1)",Worker,WF,7/13/2018,3.8,2.47,7/20/2018,0,,0,7
92,22,B. bimaculatus,"129-B, 3W-B,170-B (Colony 1)",Worker,SF,7/13/2018,3.3,2.145,7/20/2018,0,,0,7
