Bee ID,Colony ID,Treatment,New date,New pollen weight,New sucrose weight,Old date,Old pollen weight,Old sucrose weight,Net pollen,Net sucrose
1,Colony 1,SUN,25-Sep,0.344,22.42,27-Sep,0.345,21.59,-0.001,0.83
2,Colony 1,WF,25-Sep,0.3704,21.82,27-Sep,0.3613,20.02,0.0091,1.8
3,Colony 1,MIX,25-Sep,0.4,19.8,27-Sep,0.4106,18.19,-0.0106,1.61
4,Colony 1,SUN,25-Sep,0.3334,24.8,27-Sep,0.3349,23.07,-0.0015,1.73
5,Colony 1,WF,25-Sep,NA,NA,27-Sep,NA,NA,NA,NA
6,Colony 1,MIX,25-Sep,NA,NA,27-Sep,NA,NA,NA,NA
7,Colony 1,SUN,25-Sep,0.3528,22.05,27-Sep,0.373,20.92,-0.0202,1.13
8,Colony 3,WF,25-Sep,0.3531,21.93,27-Sep,0.3399,20.18,0.0132,1.75
9,Colony 3,MIX,25-Sep,0.345,19.66,27-Sep,0.3302,18.33,0.0148,1.33
10,Colony 3,SUN,25-Sep,0.341,21.49,27-Sep,0.3389,19.59,0.0021,1.9
11,Colony 3,WF,25-Sep,0.3707,21.12,27-Sep,0.3724,19.43,-0.0017,1.69
12,Colony 3,MIX,25-Sep,0.3827,19.6,27-Sep,0.388,18.38,-0.0053,1.22
13,Colony 3,SUN,25-Sep,0.341,19.18,27-Sep,0.287,17.14,0.054,2.04
14,Colony 3,WF,25-Sep,0.346,18.39,27-Sep,0.3349,16.8,0.0111,1.59
15,Colony 5,MIX,25-Sep,0.3575,19.94,27-Sep,0.3663,18.28,-0.0088,1.66
16,Colony 5,SUN,25-Sep,0.3246,21.16,27-Sep,0.3113,19.24,0.0133,1.92
17,Colony 5,WF,25-Sep,0.3755,22.76,27-Sep,0.3727,21.05,0.0028,1.71
18,Colony 5,MIX,25-Sep,0.3333,20.48,27-Sep,0.3444,18.76,-0.0111,1.72
19,Colony 5,SUN,25-Sep,0.4455,20.94,27-Sep,0.4335,19.09,0.012,1.85
20,Colony 5,WF,25-Sep,NA,NA,27-Sep,NA,NA,NA,NA
21,Colony 5,MIX,25-Sep,0.331,20.2,27-Sep,0.325,18.46,0.006,1.74
22,Colony 8,SUN,25-Sep,0.3289,19.58,27-Sep,0.3564,17.81,-0.0275,1.77
23,Colony 8,WF,25-Sep,0.374,23.4,27-Sep,0.3692,21.78,0.0048,1.62
24,Colony 8,MIX,25-Sep,0.4,20.78,27-Sep,0.4274,18.71,-0.0274,2.07
25,Colony 8,SUN,25-Sep,0.3175,21.51,27-Sep,0.3315,20.02,-0.014,1.49
26,Colony 8,WF,25-Sep,0.3685,18.25,27-Sep,0.3619,16.31,0.0066,1.94
27,Colony 8,MIX,25-Sep,0.3515,20.04,27-Sep,0.3746,18.19,-0.0231,1.85
28,Colony 8,SUN,25-Sep,0.355,20.51,27-Sep,0.3744,18.11,-0.0194,2.4
29,Colony 10,WF,25-Sep,0.3577,20.29,27-Sep,0.3625,18.67,-0.0048,1.62
30,Colony 10,MIX,25-Sep,0.3531,22.45,27-Sep,0.3314,20.84,0.0217,1.61
31,Colony 10,SUN,25-Sep,0.319,22.24,27-Sep,0.3017,20.63,0.0173,1.61
32,Colony 10,WF,25-Sep,0.34,21.9,27-Sep,0.3212,19.98,0.0188,1.92
33,Colony 10,MIX,25-Sep,0.3687,21.18,27-Sep,0.3781,19.89,-0.0094,1.29
34,Colony 10,SUN,25-Sep,0.3619,19.99,27-Sep,0.3646,18.07,-0.0027,1.92
35,Colony 10,WF,25-Sep,0.3373,21.72,27-Sep,0.3372,20.2,1.00E-04,1.52
36,Colony 1,MIX,27-Sep,0.3368,14.42,29-Sep,NA,NA,NA,NA
37,Colony 1,SUN,27-Sep,0.379,14.14,29-Sep,NA,NA,NA,NA
38,Colony 1,WF,27-Sep,0.3741,14.29,29-Sep,NA,NA,NA,NA
39,Colony 1,MIX,27-Sep,0.3707,14.25,29-Sep,NA,NA,NA,NA
40,Colony 1,SUN,27-Sep,NA,NA,29-Sep,NA,NA,NA,NA
41,Colony 1,WF,27-Sep,0.3299,14.12,29-Sep,0.3244,13.25,0.0055,0.87
42,Colony 1,MIX,27-Sep,NA,NA,29-Sep,NA,NA,NA,NA
43,Colony 3,SUN,27-Sep,0.3734,14.2,29-Sep,0.3806,12.93,-0.0072,1.27
44,Colony 3,WF,27-Sep,0.354,14.27,29-Sep,0.347,12.97,0.007,1.3
45,Colony 3,MIX,27-Sep,0.3434,14.3,29-Sep,0.3666,12.98,-0.0232,1.32
46,Colony 3,SUN,27-Sep,0.3746,14.52,29-Sep,0.3886,12.94,-0.014,1.58
